1,对话前沿,,上海交通大学,中国叙事学;理论拓展;本土化;跨界;,"2017年是中国叙事学研究蓬勃发展的一年。无论是前沿理论和方法的延伸和创新,还是中国特色叙事理论和素材的挖掘,都产生了不少意义非凡的成果。本文旨在对2017年中国叙事学研究状况作一概览。文章首先总体概述了2017年中国的叙事学研究情况,随后从西方理论拓展、本土叙事学开发、跨界叙事研究三个方面进一步详述了中国叙事学在这一年的发展特征。总体来讲,虽然2017年中国叙事学研究在与西方理论接轨的当代叙事学研究和中国传统叙事学研究方面都颇有进展,但仍有很多亟待开发与补充的空间。鉴于此,本文建议相关学者和研究机构加强学科建设,促进学术交流,并在研究中注重理论兼容性和本土素材的采用。",回归本土——2017年中国叙事学研究述论,万晓蒙;李亚飞,当代外语研究,I04,119-125,7
39,找回外国文学研究中失去的自我,黄源深,上海对外经贸大学,O,"<正>当下,中国迅速崛起,国力进一步增强,科技创新不断震惊世界,世界对中国刮目相看。我们的外国文学研究(包括比较文学研究、跨文化研究、翻译研究)应该作出怎样的贡献,才能不辜负我们所处的时代呢?任何研究,包括外国文学研究,都贵在创新。用批判的目光审视研究对象,作出客观而公允的评判,提出有别于他人的独到见解,从而不同程度地把研究推向新的境界。这方面,德",当代外语研究,2018-07-28,期刊,I106,11-12,2
40,国防部新闻发布话语的情感因素,梁晓波,国防科技大学,国防部;新闻发布会;话语;情感;语境;,"国防部新闻发布话语是一类非常特殊的话语,受到公众的高度关注。其话语的情感性非常重要,也非常敏感。从语境来说,其话语具有高端雅致、严肃谨慎、坦率开放、回应关切、新鲜活泼的情感要求;从新闻发言人来说,需要冷静稳重、胸怀世界、平等相待、维护尊严、和谐互动、开放透明的情感素养;从新闻发布会的内容来看,需要话语做到软硬平衡、内外兼顾、军民共建、爱国主义等情怀。",当代外语研究,2018-07-28,期刊,H030,34-39+48+108,8
41,隐喻认知视角的网络语言暴力,王任华,南京工程学院,隐喻;认知;语言;暴力;,"当前学界主要关注网络语言暴力的概念、理论、成因和治理研究并取得了一定成果。本文从隐喻认知视角出发,结合国内网络语言暴力事件的实例来研究网络暴力隐喻。研究发现网络暴力隐喻的喻体内容主要有四类:带有贬义色彩的动物、众人所熟悉作品中的典型人物、妖魔鬼怪、废弃排泄物。网络暴力隐喻包括本体喻体喻底直接出现、本体喻体直接出现喻底不出现、本体直接出现喻体间接出现喻底不出现、本体不出现喻体直接出现喻底不出现四种体现方式。暴力隐喻的隐喻要素明晰度越高,暴力意图越明显,隐喻认知过程越简单。",当代外语研究,2018-07-28,期刊,H0-05,58-63,6
42,网络及家庭环境下的语言暴力研究报告,王冬燕,上海交通大学,网络语言暴力;家庭语言暴力;话语冲突;问卷调查;,"语言暴力会对人产生精神上的伤害,甚至会影响或危害到受害者的生命安全。如何减少语言暴力是我们构建和谐社会的重要议题,也是语言工作者的社会责任。本文聚焦于语言暴力中的当事人,以网络及家庭环境为研究背景,通过对问卷调查的数据进行分析、比对,探索语言暴力发生的原因、表现形式以及产生的影响,并在此基础上为减少语言暴力的发生、净化语言、构建和谐社会提供可行性建议。",当代外语研究,2018-07-28,期刊,H0-05,64-72+109,10
43,《二语加工导论》介评,张素敏,河北师范大学,O,"<正>1.引言二语加工""是一门研究第二语言使用和习得的心理过程的学科。""(蒋楠等2016)二语加工从认知和心理语言学角度对非母语/二语进行研究,在这一研究方法下,二语使用主要作为一种认知事件,而不是文化、社会语言或教学事件来研究。其主要目的是理解二语使用中的心理过程和心理机制,并通过这些心理过程和机制来了解二语习得。",当代外语研究,2018-07-28,期刊,H09-5,100-107,8
44,Journal,of,O,O,"<正>General Editor Feng Yang|Shanghai Jiao Tong University Executive Editors Shiyu Wu|Shanghai Jiao Tong University Hui Chang|Shanghai Jiao Tong University Assistant Editors Menghan Deng|Shanghai Jiao Tong University Yanjiang Teng|Michigan State University ISSN 2542-3835|E-ISSN 2542-3843 Journal of Second Language Studies(JSLS)is an international refereed journal that is dedicated to promoting scholarly exchanges,advancing theoretical knowledge,and exploring pedagogical implications in second language acquisition and",Second,Language,Studies,H09,111,1
45,高校外语专业教育40年:回顾与展望,戴炜栋,上海外国语大学,O,"<正>改革开放40年来,我国外语专业教育飞速发展,成绩显著。主要表现为外语语种日趋丰富,外语专业规模不断扩大,外语人才培养体系日益完备。从外语语种来看,1966年全国仅有41种,而2018年,仅北京外国语大学就已开设98个语种。从外语专业类型来看,原有的英语专业扩展为英语类专业,包括英语、商务英语、翻译专业。从人才类型来看,自1983年上海外国语大学试点培养国际新闻传播等专业人才以",当代外语研究,2018-07-28,期刊,H09,3-4,2
46,期刊人的坚守,,O,O,"<正>中秋的上海,云淡风轻、秋高气爽,抬头往窗外望去,月色如银。望着书桌上这大半年来出刊的杂志,满是劳作之后丰收的喜悦。我们一直精耕细作,努力在栏目设置和内容建设上,推陈出新,为传播外语教育与研究的成果贡献力量。上半年,既邀请了专家学者就外语教学中重塑阅读的地位进行了科学的论证和探讨,也邀请了老一辈的外语学人就改革开放以来的外语高等教育改革进行了总结和展望。四十年的外语教育改革,如史诗般壮丽,抚今追昔,意义重大!我们正积极筹划的中国外交话语研究、",当代外语研究,2018-07-28,期刊,H09,3,1
47,回眸40年:外语教育的规模、教材、目标、技术和质量,叶兴国,浙江越秀外国语学院上海对外经贸大学,O,"<正>1978年3月我告别插队落户整整八年的江西省乐平县横路村,进入江西师范学院外语系学习英语专业。2018年4月我在上海对外经贸大学国际商务外语学院二级教授岗位上退休。这段时间正好与国家改革开放的40年完全重合。因此,当杨枫教授要我写一篇回顾40年外语教学改革的文章时,我欣然应允。我深知,外语教育40年来走过的改革之路波澜壮阔,凭我一己之力,不可能描绘出这一宏大画面。但是,",当代外语研究,2018-07-28,期刊,H09,4-7,4
48,中国全球治理话语传播效果评估:以“命运共同体”为例,秦洪武;周霞,曲阜师范大学,话语权;中国话语;传播;命运共同体;,"政治话语对外传播事关中国智慧、中国方案传播与接受的成效,但传播效应的观察和分析长期缺少有效的途径。为此,本研究考察了""命运共同体""的外译及其在300余家境外媒体近六年的传播状况,分析了影响中国话语传播效应的主要因素。研究发现,目前影响范围主要在发展中国家和周边地区,尚没有在西方媒体引起广泛的响应。中国政治话语能够通过主动适应来维护和提升话语影响力,但争取理想的话语权的努力需持之以恒。此外,还要警惕中国话语被""善意""借用到西方话语中,因为这可能导致中国话语被西方话语替代,可能导致中国智慧和中国方案潜变为中国对西方话语权的贡献,并最终导致中国话语权式微。",当代外语研究,2018-07-28,期刊,H315.9;G206,25-33+108,10
49,第三届《当代外语研究》二语加工国际研讨会,,O,O,"<正>二语加工研究是二语研究的国际前沿,具有鲜明的跨学科和文理交叉的特点。上海交通大学《当代外语研究》和Journal of Second Language Studies (JSLS,with John Benjamins)编辑部,将于2018年12月22～23日在黑龙江大学召开""第三届《当代外语研究》二语加工国际研讨会""。届时还将于12月20～21日举办""二语加工实验设计与数据处理工作坊""。本次会议将邀请英国剑桥大学袁博平教授、日本名古屋大学Junko Yamashita教授、南开大学石锋教授、华南师范大学张萍教授和上海交通大学吴芙芸教授做主旨发言。将邀请浙江大学王小",当代外语研究,2018-07-28,期刊,+,33,1
50,西方媒体视野中“一带一路”形象的语料库探析,邵斌;蔡颖莹;余晓燕,浙江财经大学,“一带一路”;西方媒体;语料库;批评话语分析;聚类分析;,"自习近平总书记在2013年提出建设""一带一路""的重要倡议以来,该倡议备受国内外媒体关注。然而,西方媒体视野中的""一带一路""是何形象?学界尚未对此展开深入研究。本文从""LexisNexis新闻数据库""中提取西方媒体对""一带一路""的英语报道,自建语料库,并通过索引行考察西方媒体对""一带一路""的总体态度,借助聚类分析手段探索西方各国对其评价的差异,采用主题词分析呈现英国、美国、德国、澳大利亚和新西兰等五国对其关注的焦点。研究发现:(1)误读和""中国威胁论""的消极声音虽时有存在,但西方媒体对""一带一路""的总体态度是肯定的;(2)美、加等北美国家某些媒体对""一带一路""有消极评价,而沿线国家,特别是中东欧国家,多为积极评价;(3)西方各国媒体对""一带一路""的关注焦点不同,主要是出于国家利益、经济利益以及意识形态的考量。",当代外语研究,2018-07-28,期刊,H313,40-47+108,9
51,编者按,,O,O,"<正>《诗经·郑风·将仲子》里有一句诗""人之多言,亦可畏也"",后精炼为成语""人言可畏""。流言蜚语容易伤人,因此让人害怕。在现代社会,通过语言对他人施加的嘲笑、谩骂、诋毁、污蔑、恫吓,更是对人的心理和精神造成严重侵犯和伤害。语言尽管无形,但一旦充当暴力手段,也具有巨大的杀伤力,对人心理的负面影响可能更为长久、更为深重。语言暴力,尤其是网络环境和家庭环境中的",当代外语研究,2018-07-28,期刊,+,48,1
52,重生、救赎与共情:语言暴力事件的积极话语分析视角,王品,上海交通大学,语言暴力;积极话语分析;态度;,"语言暴力事件在语言学界引起的关注,主要以批评话语分析为主。但以解构为动机的批评话语分析可以由建构性的积极话语分析作为补充,对语言暴力行为的揭露和批判也需要辅以对语言暴力受害者的同情和帮助,唤起社会对语言暴力的认识。本文以Monica Lewinsky的演讲The Price of Shame及听众对该演讲的回应为例,考察其中的态度资源,从积极话语分析的视角探讨语言暴力的受害者如何逆境重生,语言暴力的实施者如何悔过,大众如何认知语言欺凌的罪恶、表达对受害者的同情。",当代外语研究,2018-07-28,期刊,H315,49-57+108-109,11
53,新时代中国形象的翻译、构建与传播,WANG,O,O,"<正>新时代,打造人类命运共同体,融会贯通中外优秀思想文化和智慧,增进中国对世界的沟通认知,提高国家文化软实力,成为实现""两个一百年""奋斗目标和中华民族伟大复兴中国梦的关键。在新的历史环境下,如何在国际上有策略地塑造中国形象,既需要树立有感召力的国家核心文化价值,更需要了解不同话语构建的规律和原则以及传播路径。鉴于此,上海交通大学外国语学院将于",Renhua;,当代外语研究,2018-07-28,+,72,1
